Weight,Height
169,72
239,76
180,67
195,69
204,71
184,66
163,65
136,66
149,74
159,68
170,69
198,69
164,69
131,70
155,71
221,69
157,71
192,74
214,70
119,65
176,72
161,72
200,72
144,72
211,69
224,72
203,74
155,67
125,72
192,72
201,69
170,63
209,71
137,68
118,67
213,69
190,71
182,67
209,66
230,66
215,67
157,67
165,73
193,67
169,71
159,71
168,72
264,69
180,72
163,71
165,67
227,67
131,67
150,72
202,70
155,69
165,67
144,71
134,66
206,66
123,69
134,67
213,72
233,68
184,65
199,75
150,71
90,70
171,72
183,75
139,71
207,72
135,72
115,70
155,68
161,75
170,70
209,68
123,70
196,70
231,72
213,73
179,64
184,70
154,73
180,71
146,67
144,68
112,68
197,68
166,70
207,67
183,71
155,63
110,66
212,70
202,70
184,73
147,69
162,67
149,62
199,69
111,70
94,72
151,71
149,69
177,74
172,68
191,75
186,65
163,69
212,73
221,68
188,63
149,75
138,68
174,75
180,66
180,70
194,69
163,65
188,63
163,68
169,74
189,69
148,69
178,67
200,69
175,68
113,69
184,69
161,66
142,71
138,69
111,68
175,73
192,73
185,72
242,67
133,75
211,68
175,70
133,68
176,65
160,63
168,62
189,69
124,68
182,73
182,67
172,62
170,68
192,75
197,70
135,73
124,68
165,65
149,66
209,69
167,68
208,66
183,70
156,69
131,74
153,63
169,71
159,68
130,67
144,73
189,70
136,74
172,69
151,67
153,70
139,72
192,71
144,71
169,69
143,70
186,68
197,73
162,75
138,73
215,73
151,72
171,72
188,71
163,68
181,69
243,70
160,71
189,70
127,66
122,69
212,69
159,71
141,70
137,68
190,66
223,73
144,72
127,73
124,65
154,70
142,69
168,73
184,75
173,68
244,70
173,71
204,67
143,70
133,69
221,68
129,66
229,72
167,69
178,74
142,69
162,68
230,71
149,69
126,72
168,70
153,70
132,69
155,72
186,72
172,72
189,68
189,70
154,68
167,72
158,72
169,69
183,66
211,69
261,70
182,66
170,70
202,69
182,67
151,71
161,68
199,65
158,69
176,71
152,70
184,70
172,63
245,71
90,68
160,74
160,72
170,73
155,67
165,70
224,75
150,70
112,69
159,69
218,68
160,64
205,67
180,64
185,70
153,70
193,71
144,66
169,72
196,71
217,64
158,72
179,66
140,70
243,73
162,69
111,67
121,70
181,70
173,69
136,73
198,67
131,71
178,75
203,76
156,71
165,65
186,71
145,67
226,66
191,67
214,65
169,68
158,76
231,71
117,69
153,69
174,73
170,72
145,74
126,70
191,70
234,71
172,67
130,67
201,71
189,71
146,70
193,67
113,76
140,69
175,69
170,68
143,66
202,74
223,65
145,69
184,71
184,70
180,67
175,70
150,74
153,71
181,65
142,75
161,74
195,67
184,64
176,69
175,64
199,66
132,68
183,68
137,74
140,72
209,70
164,66
176,73
216,69
257,67
157,70
163,72
164,67
176,65
166,72
216,71
241,72
155,73
179,76
133,72
184,67
177,73
123,72
143,71
158,68
179,68
183,67
164,79
146,68
137,78
178,70
220,70
186,68
173,68
163,64
145,66
165,70
164,68
171,71
165,73
202,68
197,73
207,69
229,68
204,66
156,67
141,69
191,70
175,74
175,76
165,67
218,66
126,70
175,70
155,80
193,70
170,69
182,67
191,64
178,67
192,72
207,71
245,71
207,72
167,69
178,71
187,68
147,71
172,72
199,71
149,65
146,67
178,62
204,66
217,68
185,74
148,67
177,65
164,68
151,70
234,65
123,70
188,67
192,70
135,71
233,73
134,74
191,69
183,69
135,68
127,73
194,71
153,69
151,69
190,73
151,73
182,77
194,71
162,67
194,62
165,69
156,73
203,70
169,71
199,68
135,71
161,67
204,76
188,69
131,69
139,67
192,67
206,67
166,71
143,73
153,76
173,69
216,65
120,78
128,62
170,70
204,69
190,72
154,72
106,69
177,66
125,70
147,70
176,68
213,66
261,73
156,68
178,69
185,71
183,72
189,74
138,74
213,71
142,72
190,62
192,67
129,75
155,73
112,74
209,67
171,69
177,63
115,68
163,72
184,60
176,69
200,66
181,68
139,71
184,70
208,68
126,67
182,75
176,69
171,76
176,66
148,64
172,64
139,69
170,75
96,72
223,67
211,71
191,63
208,68
181,72
154,68
116,69
144,66
204,68
159,70
213,63
179,73
163,68
143,62
171,66
172,72
144,72
170,69
217,72
177,71
139,68
147,66
182,72
180,68
156,73
135,71
116,69
204,66
198,72
164,68
220,66
126,66
161,67
137,68
205,64
207,62
223,69
185,67
143,72
207,69
161,67
145,74
144,66
137,69
215,70
172,74
171,75
151,72
152,67
